"epoch","accuracy","loss","algorithm"
0,0.982303380966187,0.685844421386719,"gru"
1,0.989325821399689,0.66937130689621,"gru"
2,0.990730345249176,0.648503601551056,"gru"
3,0.99157303571701,0.619672060012817,"gru"
4,0.992134809494019,0.577651858329773,"gru"
5,0.992134809494019,0.514643788337708,"gru"
6,0.992696642875671,0.420578181743622,"gru"
7,0.992696642875671,0.289647728204727,"gru"
8,0.993258416652679,0.147157460451126,"gru"
9,0.993258416652679,0.0637141764163971,"gru"
