"epoch","accuracy","loss","algorithm"
0,54.6687635148418,0.00361834396608174,"lr"
1,54.1576567721643,0.00360338180325925,"lr"
2,53.8627874975428,0.0035904529504478,"lr"
3,53.469628464714,0.00357885030098259,"lr"
4,52.9192058187537,0.00356816314160824,"lr"
5,52.663652447415,0.00355814350768924,"lr"
6,52.5850206408492,0.00354862422682345,"lr"
7,52.5260467859249,0.00353949656710029,"lr"
8,52.3687831727934,0.00353068276308477,"lr"
9,52.349125221152,0.00352212623693049,"lr"
10,52.3687831727934,0.00351378577761352,"lr"
11,52.5653626892078,0.00350563088431954,"lr"
12,52.5457047375663,0.00349763780832291,"lr"
13,52.2311775113033,0.00348978792317212,"lr"
14,52.0149400432475,0.00348206632770598,"lr"
15,51.8183605268331,0.00347446114756167,"lr"
16,51.7004128169845,0.00346696423366666,"lr"
17,51.543149203853,0.00345956580713391,"lr"
18,51.4448594456458,0.00345226214267313,"lr"
19,51.3072537841557,0.00344504369422793,"lr"
20,51.2875958325143,0.00343790859915316,"lr"
21,51.3269117357971,0.00343085173517466,"lr"
22,51.3072537841557,0.00342387007549405,"lr"
23,51.2482799292314,0.00341696036048234,"lr"
24,51.2482799292314,0.00341011979617178,"lr"
25,51.1893060743071,0.00340334489010274,"lr"
26,51.1303322193827,0.00339663564227521,"lr"
27,51.1106742677413,0.00338998739607632,"lr"
28,51.1303322193827,0.00338340108282864,"lr"
29,50.9140947513269,0.00337687297724187,"lr"
30,50.9534106546098,0.00337040168233216,"lr"
31,50.8354629447612,0.00336398673243821,"lr"
32,50.8158049931197,0.00335762673057616,"lr"
33,50.8551208964026,0.00335132004693151,"lr"
34,50.8944367996855,0.00334506528452039,"lr"
35,50.8944367996855,0.00333886174485087,"lr"
36,50.8551208964026,0.00333270919509232,"lr"
37,50.6978572832711,0.00332660437561572,"lr"
38,50.7175152349125,0.00332054984755814,"lr"
39,50.737173186554,0.00331454048864543,"lr"
40,50.5799095734225,0.00330857955850661,"lr"
41,50.5209357184981,0.00330266379751265,"lr"
42,50.6388834283468,0.00329679274000227,"lr"
43,50.6781993316296,0.00329096685163677,"lr"
44,50.6192254767053,0.00328518403694034,"lr"
45,50.5405936701396,0.00327944476157427,"lr"
46,50.5012777668567,0.00327374855987728,"lr"
47,50.4619618635738,0.00326809287071228,"lr"
48,50.2653823471594,0.00326247932389379,"lr"
