epoch,accuracy,loss,val_accuracy,val_loss
0,0.966292142868042,0.691647469997406,0.9882121682167053,0.6904181241989136
1,0.9904494285583496,0.6889780759811401,0.9934512376785278,0.6876550912857056
2,0.9921348094940186,0.6860798001289368,0.9947609901428223,0.6845796704292297
3,0.9918539524078369,0.682807445526123,0.9947609901428223,0.6810657382011414
4,0.9918539524078369,0.6790037155151367,0.9947609901428223,0.6769211888313293
5,0.9912921190261841,0.6744822859764099,0.9934512376785278,0.6719487905502319
6,0.9910112619400024,0.6689960360527039,0.9934512376785278,0.6658705472946167
7,0.990730345249176,0.6622236371040344,0.9934512376785278,0.658264696598053
8,0.990730345249176,0.6536999940872192,0.9927963614463806,0.648617684841156
9,0.990730345249176,0.6427215933799744,0.9914865493774414,0.6360242366790771
