epoch,accuracy,loss,val_accuracy,val_loss
0,0.9823033809661865,0.6858444213867188,0.9849377870559692,0.6778789162635803
1,0.9893258213996887,0.6693713068962097,0.9855926632881165,0.6598751544952393
2,0.990730345249176,0.6485036015510559,0.9869024157524109,0.635921835899353
3,0.9915730357170105,0.6196720600128174,0.9875572919845581,0.601836621761322
4,0.9921348094940186,0.577651858329773,0.9875572919845581,0.5512740015983582
5,0.9921348094940186,0.5146437883377075,0.9875572919845581,0.4751567244529724
6,0.9926966428756714,0.4205781817436218,0.9882121682167053,0.3639615774154663
7,0.9926966428756714,0.2896477282047272,0.9882121682167053,0.22106195986270905
8,0.9932584166526794,0.1471574604511261,0.9882121682167053,0.10265995562076569
9,0.9932584166526794,0.0637141764163971,0.9882121682167053,0.06603554636240005
