epoch,accuracy,loss,val_accuracy,val_loss
0,0.9921348094940186,0.683419942855835,0.9895219206809998,0.6787465810775757
1,0.9926966428756714,0.6741729378700256,0.9895219206809998,0.6686146259307861
2,0.9932584166526794,0.6640558242797852,0.9895219206809998,0.6584253907203674
3,0.9935393333435059,0.6530845165252686,0.9895219206809998,0.6466334462165833
4,0.9935393333435059,0.6397206783294678,0.990176796913147,0.6321126818656921
5,0.9938202500343323,0.6229346990585327,0.990176796913147,0.6126117706298828
6,0.9938202500343323,0.5996859669685364,0.990176796913147,0.5853310823440552
7,0.9938202500343323,0.5651413798332214,0.990176796913147,0.5420935153961182
8,0.9938202500343323,0.5059232711791992,0.990176796913147,0.4616844058036804
9,0.9938202500343323,0.3830322027206421,0.990176796913147,0.2792907655239105
