epoch,accuracy,loss,val_accuracy,val_loss
0,0.8654494285583496,0.692051351070404,0.9790439009666443,0.6907157897949219
1,0.983146071434021,0.6893622875213623,0.9849377870559692,0.6879245638847351
2,0.9859550595283508,0.686441957950592,0.990176796913147,0.6848385334014893
3,0.9879213571548462,0.683141827583313,0.9914865493774414,0.6812779307365417
4,0.9887640476226807,0.6792817711830139,0.9921414256095886,0.6770607233047485
5,0.9896067380905151,0.6746541857719421,0.9921414256095886,0.6719313859939575
6,0.9896067380905151,0.6689319610595703,0.9934512376785278,0.6655031442642212
7,0.990730345249176,0.6616560816764832,0.994106113910675,0.6571981310844421
8,0.9910112619400024,0.6520881056785583,0.994106113910675,0.6460608243942261
9,0.9915730357170105,0.6389786005020142,0.994106113910675,0.6304596066474915
