epoch,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.5112359523773193,0.5400570631027222,10.0,1730.0,0.6946329474449158,0.00517538795247674,0.4736842215061188,1811.0,9.0,0.7982972860336304,0.5230469107627869,13.0,295.0,0.6844990253448486,0.01666666753590107,0.2777777910232544,1214.0,5.0
1,0.8443820476531982,0.570304274559021,16.0,538.0,0.6733999252319336,0.00554528646171093,0.15789473056793213,3003.0,3.0,0.8565815091133118,0.5687173008918762,15.0,204.0,0.6639566421508789,0.014492753893136978,0.1666666716337204,1305.0,3.0
2,0.8831460475921631,0.5772306323051453,17.0,399.0,0.6521828770637512,0.004987531341612339,0.10526315867900848,3142.0,2.0,0.8867059350013733,0.5505485534667969,16.0,157.0,0.6431827545166016,0.012578615918755531,0.1111111119389534,1352.0,2.0
3,0.8999999761581421,0.5567264556884766,17.0,339.0,0.6304673552513123,0.005865102633833885,0.10526315867900848,3202.0,2.0,0.9004583954811096,0.571183979511261,16.0,136.0,0.621601939201355,0.014492753893136978,0.1111111119389534,1373.0,2.0
4,0.9095505475997925,0.5783082246780396,17.0,305.0,0.6077172160148621,0.0065146577544510365,0.10526315867900848,3236.0,2.0,0.9102815985679626,0.5590347051620483,16.0,121.0,0.5987175703048706,0.016260161995887756,0.1111111119389534,1388.0,2.0
5,0.917977511882782,0.5800250172615051,17.0,275.0,0.5835781693458557,0.007220216561108828,0.10526315867900848,3266.0,2.0,0.918140172958374,0.5439032316207886,16.0,109.0,0.5742478370666504,0.018018018454313278,0.1111111119389534,1400.0,2.0
6,0.92331463098526,0.5215074419975281,17.0,256.0,0.5575459003448486,0.007751937955617905,0.10526315867900848,3285.0,2.0,0.9214145541191101,0.5528680086135864,17.0,103.0,0.5475350022315979,0.009615384973585606,0.0555555559694767,1406.0,1.0
7,0.9292134642601013,0.581845760345459,17.0,235.0,0.5290966033935547,0.008438818156719208,0.10526315867900848,3306.0,2.0,0.9273084402084351,0.5330056548118591,17.0,94.0,0.518250048160553,0.010526316240429878,0.0555555559694767,1415.0,1.0
8,0.9334269762039185,0.5642473697662354,17.0,220.0,0.4976728558540344,0.009009009227156639,0.10526315867900848,3321.0,2.0,0.9318925738334656,0.5405345559120178,18.0,86.0,0.4855584502220154,0.0,0.0,1423.0,0.0
9,0.9396067261695862,0.5632961392402649,17.0,198.0,0.46283259987831116,0.009999999776482582,0.10526315867900848,3343.0,2.0,0.9377865195274353,0.5318459868431091,18.0,77.0,0.44929933547973633,0.0,0.0,1432.0,0.0
