epoch,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.9935393333435059,0.5382847189903259,23.0,0.0,0.6819592714309692,0.0,0.0,3537.0,0.0,0.9908316731452942,0.40676045417785645,14.0,0.0,0.6803369522094727,0.0,0.0,1513.0,0.0
1,0.9935393333435059,0.44418013095855713,23.0,0.0,0.6786637306213379,0.0,0.0,3537.0,0.0,0.9908316731452942,0.45614200830459595,14.0,0.0,0.6770703792572021,0.0,0.0,1513.0,0.0
2,0.9935393333435059,0.46384188532829285,23.0,0.0,0.6753839254379272,0.0,0.0,3537.0,0.0,0.9908316731452942,0.37439805269241333,14.0,0.0,0.6738136410713196,0.0,0.0,1513.0,0.0
3,0.9935393333435059,0.5205405950546265,23.0,0.0,0.6721130609512329,0.0,0.0,3537.0,0.0,0.9908316731452942,0.41846853494644165,14.0,0.0,0.6705648303031921,0.0,0.0,1513.0,0.0
4,0.9935393333435059,0.478242427110672,23.0,0.0,0.6688486933708191,0.0,0.0,3537.0,0.0,0.9908316731452942,0.4554102420806885,14.0,0.0,0.6673218011856079,0.0,0.0,1513.0,0.0
5,0.9935393333435059,0.454339861869812,23.0,0.0,0.6655842661857605,0.0,0.0,3537.0,0.0,0.9908316731452942,0.3572372794151306,14.0,0.0,0.6640721559524536,0.0,0.0,1513.0,0.0
6,0.9935393333435059,0.5110570192337036,23.0,0.0,0.6623170375823975,0.0,0.0,3537.0,0.0,0.9908316731452942,0.39627987146377563,14.0,0.0,0.6608225703239441,0.0,0.0,1513.0,0.0
7,0.9935393333435059,0.483860045671463,23.0,0.0,0.6590407490730286,0.0,0.0,3537.0,0.0,0.9908316731452942,0.4261637330055237,14.0,0.0,0.6575609445571899,0.0,0.0,1513.0,0.0
8,0.9935393333435059,0.4825878143310547,23.0,0.0,0.6557549238204956,0.0,0.0,3537.0,0.0,0.9908316731452942,0.4083184003829956,14.0,0.0,0.6542885899543762,0.0,0.0,1513.0,0.0
9,0.9935393333435059,0.4793856143951416,23.0,0.0,0.6524542570114136,0.0,0.0,3537.0,0.0,0.9908316731452942,0.39689362049102783,14.0,0.0,0.6509955525398254,0.0,0.0,1513.0,0.0
