epoch,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.7731502652168274,0.46282294392585754,1999.0,0.0,0.6685687899589539,0.0,0.0,6813.0,0.0,0.7651575207710266,0.42420506477355957,887.0,0.0,0.6622937917709351,0.0,0.0,2890.0,0.0
1,0.7731502652168274,0.4522646963596344,1999.0,0.0,0.6538975834846497,0.0,0.0,6813.0,0.0,0.7651575207710266,0.3948865532875061,887.0,0.0,0.6475946307182312,0.0,0.0,2890.0,0.0
2,0.7731502652168274,0.4565017521381378,1999.0,0.0,0.637518048286438,0.0,0.0,6813.0,0.0,0.7651575207710266,0.399141788482666,887.0,0.0,0.6305336356163025,0.0,0.0,2890.0,0.0
3,0.7731502652168274,0.43538254499435425,1999.0,0.0,0.6183104515075684,0.0,0.0,6813.0,0.0,0.7651575207710266,0.3807966411113739,887.0,0.0,0.610561192035675,0.0,0.0,2890.0,0.0
4,0.7731502652168274,0.44493019580841064,1999.0,0.0,0.5956835746765137,0.0,0.0,6813.0,0.0,0.7651575207710266,0.36812472343444824,887.0,0.0,0.5876517295837402,0.0,0.0,2890.0,0.0
5,0.7731502652168274,0.4385175406932831,1999.0,0.0,0.5714586973190308,0.0,0.0,6813.0,0.0,0.7651575207710266,0.35173654556274414,887.0,0.0,0.5661124587059021,0.0,0.0,2890.0,0.0
6,0.7731502652168274,0.4128951132297516,1999.0,0.0,0.5521276593208313,0.0,0.0,6813.0,0.0,0.7651575207710266,0.33934256434440613,887.0,0.0,0.553618311882019,0.0,0.0,2890.0,0.0
7,0.7731502652168274,0.3762460947036743,1999.0,0.0,0.5434749126434326,0.0,0.0,6813.0,0.0,0.7651575207710266,0.3336617350578308,887.0,0.0,0.5507476925849915,0.0,0.0,2890.0,0.0
8,0.7731502652168274,0.3488572835922241,1999.0,0.0,0.5414232611656189,0.0,0.0,6813.0,0.0,0.7651575207710266,0.33490440249443054,887.0,0.0,0.5505450367927551,0.0,0.0,2890.0,0.0
9,0.7731502652168274,0.3377141058444977,1999.0,0.0,0.541089653968811,0.0,0.0,6813.0,0.0,0.7651575207710266,0.3327615559101105,887.0,0.0,0.5505773425102234,0.0,0.0,2890.0,0.0
