epoch,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.7665683031082153,0.4747422933578491,2056.0,1.0,0.6868354082107544,0.0,0.0,6755.0,0.0,0.7802488803863525,0.47794365882873535,830.0,0.0,0.6827731728553772,0.0,0.0,2947.0,0.0
1,0.7666817903518677,0.45746323466300964,2056.0,0.0,0.6800368428230286,0.0,0.0,6756.0,0.0,0.7802488803863525,0.4978906512260437,830.0,0.0,0.6756929159164429,0.0,0.0,2947.0,0.0
2,0.7666817903518677,0.44611021876335144,2056.0,0.0,0.6734692454338074,0.0,0.0,6756.0,0.0,0.7802488803863525,0.3926500678062439,830.0,0.0,0.6687885522842407,0.0,0.0,2947.0,0.0
3,0.7666817903518677,0.4351745843887329,2056.0,0.0,0.6670976281166077,0.0,0.0,6756.0,0.0,0.7802488803863525,0.4430433511734009,830.0,0.0,0.6621009707450867,0.0,0.0,2947.0,0.0
4,0.7666817903518677,0.43774595856666565,2056.0,0.0,0.6608654260635376,0.0,0.0,6756.0,0.0,0.7802488803863525,0.45389798283576965,830.0,0.0,0.6555191874504089,0.0,0.0,2947.0,0.0
5,0.7666817903518677,0.42388126254081726,2056.0,0.0,0.6547713875770569,0.0,0.0,6756.0,0.0,0.7802488803863525,0.3866024911403656,830.0,0.0,0.6490727066993713,0.0,0.0,2947.0,0.0
6,0.7666817903518677,0.4175926446914673,2056.0,0.0,0.6488186717033386,0.0,0.0,6756.0,0.0,0.7802488803863525,0.4607103168964386,830.0,0.0,0.642777144908905,0.0,0.0,2947.0,0.0
7,0.7666817903518677,0.4180673360824585,2056.0,0.0,0.6429970860481262,0.0,0.0,6756.0,0.0,0.7802488803863525,0.3953712284564972,830.0,0.0,0.6366131901741028,0.0,0.0,2947.0,0.0
8,0.7666817903518677,0.40442121028900146,2056.0,0.0,0.6373330354690552,0.0,0.0,6756.0,0.0,0.7802488803863525,0.4253523349761963,830.0,0.0,0.6305657029151917,0.0,0.0,2947.0,0.0
9,0.7666817903518677,0.4072357416152954,2056.0,0.0,0.6318200826644897,0.0,0.0,6756.0,0.0,0.7802488803863525,0.4119934141635895,830.0,0.0,0.6247106194496155,0.0,0.0,2947.0,0.0
