epoch,accuracy,auc_1,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc_1,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.5821748971939087,0.5021419525146484,2559.0,2701.0,0.6802045106887817,0.10799207538366318,0.11330561339855194,7002.0,327.0,0.7369758486747742,0.5077564120292664,361.0,53.0,0.6639878749847412,0.0,0.0,1160.0,0.0
1,0.7696401476860046,0.5693288445472717,2886.0,14.0,0.6426845192909241,0.0,0.0,9689.0,0.0,0.7706480026245117,0.6745346188545227,361.0,0.0,0.6166775822639465,0.0,0.0,1213.0,0.0
2,0.7707522511482239,0.6005016565322876,2886.0,0.0,0.5820130109786987,0.0,0.0,9703.0,0.0,0.7706480026245117,0.6713809370994568,361.0,0.0,0.5437206625938416,0.0,0.0,1213.0,0.0
3,0.7707522511482239,0.6484101414680481,2886.0,0.0,0.5216633081436157,0.0,0.0,9703.0,0.0,0.7706480026245117,0.7317906618118286,361.0,0.0,0.5054664611816406,0.0,0.0,1213.0,0.0
4,0.7707522511482239,0.7425577640533447,2886.0,0.0,0.4989004135131836,0.0,0.0,9703.0,0.0,0.7706480026245117,0.7770117521286011,361.0,0.0,0.48792505264282227,0.0,0.0,1213.0,0.0
5,0.7707522511482239,0.7750568389892578,2886.0,0.0,0.48091474175453186,0.0,0.0,9703.0,0.0,0.7706480026245117,0.7878534197807312,361.0,0.0,0.4676850736141205,0.0,0.0,1213.0,0.0
6,0.7707522511482239,0.7853477001190186,2886.0,0.0,0.46026578545570374,0.0,0.0,9703.0,0.0,0.7706480026245117,0.7815002799034119,361.0,0.0,0.44597864151000977,0.0,0.0,1213.0,0.0
7,0.7707522511482239,0.7904642224311829,2886.0,0.0,0.439309686422348,0.0,0.0,9703.0,0.0,0.7706480026245117,0.77814781665802,361.0,0.0,0.42628902196884155,0.0,0.0,1213.0,0.0
8,0.7707522511482239,0.7927299737930298,2886.0,0.0,0.4201419949531555,0.0,0.0,9703.0,0.0,0.7706480026245117,0.7854440808296204,361.0,0.0,0.4092816710472107,0.0,0.0,1213.0,0.0
9,0.7707522511482239,0.8003389239311218,2886.0,0.0,0.4019137918949127,0.0,0.0,9703.0,0.0,0.7706480026245117,0.7915826439857483,361.0,0.0,0.3911980092525482,0.0,0.0,1213.0,0.0
