epoch,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.9912921190261841,0.45948320627212524,31.0,0.0,0.6802829504013062,0.0,0.0,3529.0,0.0,0.9960707426071167,0.5381327867507935,6.0,0.0,0.6724395155906677,0.0,0.0,1521.0,0.0
1,0.9912921190261841,0.47955191135406494,31.0,0.0,0.6650282144546509,0.0,0.0,3529.0,0.0,0.9960707426071167,0.626890242099762,6.0,0.0,0.6568993926048279,0.0,0.0,1521.0,0.0
2,0.9912921190261841,0.5341730713844299,31.0,0.0,0.6492939591407776,0.0,0.0,3529.0,0.0,0.9960707426071167,0.658777117729187,6.0,0.0,0.6406524777412415,0.0,0.0,1521.0,0.0
3,0.9912921190261841,0.5266912579536438,31.0,0.0,0.63264399766922,0.0,0.0,3529.0,0.0,0.9960707426071167,0.605522632598877,6.0,0.0,0.6232928037643433,0.0,0.0,1521.0,0.0
4,0.9912921190261841,0.5563258528709412,31.0,0.0,0.6147605180740356,0.0,0.0,3529.0,0.0,0.9960707426071167,0.6781174540519714,6.0,0.0,0.6045064330101013,0.0,0.0,1521.0,0.0
5,0.9912921190261841,0.5386520624160767,31.0,0.0,0.5952321290969849,0.0,0.0,3529.0,0.0,0.9960707426071167,0.7224413752555847,6.0,0.0,0.5837870240211487,0.0,0.0,1521.0,0.0
6,0.9912921190261841,0.5855492353439331,31.0,0.0,0.5735979676246643,0.0,0.0,3529.0,0.0,0.9960707426071167,0.6779530644416809,6.0,0.0,0.560723066329956,0.0,0.0,1521.0,0.0
7,0.9912921190261841,0.6153209805488586,31.0,0.0,0.5492518544197083,0.0,0.0,3529.0,0.0,0.9960707426071167,0.6965811848640442,6.0,0.0,0.5346078872680664,0.0,0.0,1521.0,0.0
8,0.9912921190261841,0.6124553680419922,31.0,0.0,0.521683931350708,0.0,0.0,3529.0,0.0,0.9960707426071167,0.7161954641342163,6.0,0.0,0.5048968195915222,0.0,0.0,1521.0,0.0
9,0.9912921190261841,0.5713672041893005,31.0,0.0,0.49028944969177246,0.0,0.0,3529.0,0.0,0.9960707426071167,0.7209621071815491,6.0,0.0,0.47100892663002014,0.0,0.0,1521.0,0.0
