epoch,accuracy,loss,val_accuracy,val_loss
0,0.9719101190567017,0.6869942545890808,0.9895219206809998,0.6805090308189392
1,0.9912921190261841,0.672979474067688,0.9895219206809998,0.664655327796936
2,0.9921348094940186,0.6543464064598083,0.9895219206809998,0.6426413059234619
3,0.992415726184845,0.6274701952934265,0.990176796913147,0.6100237369537354
4,0.9926966428756714,0.5866618752479553,0.990176796913147,0.5596673488616943
5,0.9926966428756714,0.522778332233429,0.990176796913147,0.4802536964416504
6,0.9926966428756714,0.42131438851356506,0.990176796913147,0.35470589995384216
7,0.9926966428756714,0.26747846603393555,0.990176796913147,0.18011516332626343
8,0.9926966428756714,0.10695397853851318,0.990176796913147,0.07136427611112595
9,0.9926966428756714,0.05018885061144829,0.990176796913147,0.056684356182813644
